,CDS_length,mRNA_length,Protein_Length,Codon_Count,GC_Content,A_Content,U_Content,G_Content,C_Content,CAI,MFE,Rare_Codon_Frequency,Shannon_Entropy,GC3_Content,CpG_Frequency
Mean,1663.289961653622,1663.289961653622,579.1224457635132,554.4299521983506,52.92798713032516,25.276699217313652,21.795316068708303,26.688870935546568,26.239114356253612,0.7748569417450227,-731.6975446761569,0.04278539685874875,1.9646144823238954,59.99524630981772,0.03493175815517151
Median,1236.0,1236.0,431.0,412.0,52.7,25.13,21.709,26.505,26.01,0.776,-418.7,0.0253,1.9745,60.697,0.02845
Std,1780.1493235017197,1780.1493235017197,611.1983454677951,593.3831276112488,8.832257015158461,5.878146648664387,4.619461635130853,4.320496157534802,5.650344043409291,0.04758680721818007,20096.63138148808,0.049461767461806555,0.033833033536630745,16.52469707092318,0.02453798260249579
Min,78.0,78.0,25.0,26.0,27.66,7.89,5.263,10.823,8.127,0.601,-2686091.5,0.0015,1.6794,20.652,0.0
Max,103053.0,103053.0,34350.0,34351.0,79.849,50.177,53.68,45.395,48.012,0.9474,100000.0,0.6562,2.0,98.864,0.17137
Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
